,date,weekday,temp_f,destination,time,route,miles,avg_mph,weather_code,weather
109,2023-04-21,Friday,81,Home,0 days 00:40:45,A,7.4,10.9,1,Clear
110,2023-05-11,Thursday,50,Work,0 days 00:33:50,A,7.4,13.12,1,Clear
111,2023-05-11,Thursday,77,Home,0 days 00:38:37,A,7.4,11.5,0,Clear
112,2023-05-18,Thursday,45,Work,0 days 00:32:01,A,7.4,13.87,0,Clear
113,2023-05-18,Thursday,73,Home,0 days 00:38:49,E,7.7,11.9,1,Clear
114,2023-05-23,Tuesday,60,Work,0 days 00:32:44,A,7.4,13.56,1,Clear
115,2023-05-23,Tuesday,76,Home,0 days 00:39:42,A,7.4,11.18,2,Clear
116,2023-06-16,Friday,59,Work,0 days 00:33:15,A,7.4,13.35,61,Rain
117,2023-07-14,Friday,68,Work,0 days 00:32:17,A,7.4,13.75,3,Clear
118,2023-07-14,Friday,82,Home,0 days 00:38:50,A,7.4,11.43,51,Drizzle
119,2023-08-02,Wednesday,65,Work,0 days 00:33:00,A,7.4,13.45,0,Clear
120,2023-09-06,Wednesday,73,Work,0 days 00:31:29,A,7.4,14.1,0,Clear
121,2023-09-06,Wednesday,90,Home,0 days 00:40:36,F,7.4,10.94,0,Clear
122,2024-02-09,Friday,45,Work,0 days 00:34:55,A,7.4,12.72,2,Clear
123,2024-02-09,Friday,60,Home,0 days 00:40:35,A,7.4,10.94,1,Clear
124,2024-03-01,Friday,39,Work,0 days 00:33:29,A,7.4,13.26,0,Clear
